ID урока,ID модуля,Группа,Тариф,Этап,№ сказки в этапе,Неделя открытия,Номер встречи,Видео (ссылка),Рабочий лист (ссылка),Задания (текст),Бейдж,Баллы,Slug (не менять),Статус,Примечание
69,13,Внеклассное чтение 6–8 лет,Разовое занятие,Этап 1 или Этап 2 (выбор),1–4 (выбор при записи),1,1,,,,Первый шаг,2,extra-6-8-single-lesson-01,черновик,Разовое занятие: при записи выбирают этап (1 или 2) и любую сказку № 1–4 этого этапа
70,14,Внеклассное чтение 6–8 лет,Индивидуальное обучение,Этап 1,1,1,0,,,,Первый шаг,2,extra-6-8-self_paced-stage-1-lesson-01,черновик,"Этап 1: 4 недели, 4 сказки"
71,14,Внеклассное чтение 6–8 лет,Индивидуальное обучение,Этап 1,2,2,0,,,,Читатель,2,extra-6-8-self_paced-stage-1-lesson-02,черновик,"Этап 1: 4 недели, 4 сказки"
72,14,Внеклассное чтение 6–8 лет,Индивидуальное обучение,Этап 1,3,3,0,,,,Следопыт,2,extra-6-8-self_paced-stage-1-lesson-03,черновик,"Этап 1: 4 недели, 4 сказки"
73,14,Внеклассное чтение 6–8 лет,Индивидуальное обучение,Этап 1,4,4,0,,,,Мастер пересказа,3,extra-6-8-self_paced-stage-1-lesson-04,черновик,"Этап 1: 4 недели, 4 сказки"
74,14,Внеклассное чтение 6–8 лет,Индивидуальное обучение,Этап 2,1,5,0,,,,Первый шаг,2,extra-6-8-self_paced-stage-2-lesson-01,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
75,14,Внеклассное чтение 6–8 лет,Индивидуальное обучение,Этап 2,2,6,0,,,,Читатель,2,extra-6-8-self_paced-stage-2-lesson-02,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
76,14,Внеклассное чтение 6–8 лет,Индивидуальное обучение,Этап 2,3,7,0,,,,Следопыт,2,extra-6-8-self_paced-stage-2-lesson-03,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
77,14,Внеклассное чтение 6–8 лет,Индивидуальное обучение,Этап 2,4,8,0,,,,Мастер пересказа,3,extra-6-8-self_paced-stage-2-lesson-04,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
78,15,Внеклассное чтение 6–8 лет,Модуль с преподавателем,Этап 1,1,1,1,,,,Первый шаг,2,extra-6-8-with_teacher-stage-1-lesson-01,черновик,"Этап 1: 4 недели, 4 сказки"
79,15,Внеклассное чтение 6–8 лет,Модуль с преподавателем,Этап 1,2,2,2,,,,Читатель,2,extra-6-8-with_teacher-stage-1-lesson-02,черновик,"Этап 1: 4 недели, 4 сказки"
80,15,Внеклассное чтение 6–8 лет,Модуль с преподавателем,Этап 1,3,3,3,,,,Следопыт,2,extra-6-8-with_teacher-stage-1-lesson-03,черновик,"Этап 1: 4 недели, 4 сказки"
81,15,Внеклассное чтение 6–8 лет,Модуль с преподавателем,Этап 1,4,4,4,,,,Мастер пересказа,3,extra-6-8-with_teacher-stage-1-lesson-04,черновик,"Этап 1: 4 недели, 4 сказки"
82,15,Внеклассное чтение 6–8 лет,Модуль с преподавателем,Этап 2,1,5,5,,,,Первый шаг,2,extra-6-8-with_teacher-stage-2-lesson-01,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
83,15,Внеклассное чтение 6–8 лет,Модуль с преподавателем,Этап 2,2,6,6,,,,Читатель,2,extra-6-8-with_teacher-stage-2-lesson-02,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
84,15,Внеклассное чтение 6–8 лет,Модуль с преподавателем,Этап 2,3,7,7,,,,Следопыт,2,extra-6-8-with_teacher-stage-2-lesson-03,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
85,15,Внеклассное чтение 6–8 лет,Модуль с преподавателем,Этап 2,4,8,8,,,,Мастер пересказа,3,extra-6-8-with_teacher-stage-2-lesson-04,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
86,16,Внеклассное чтение 9–11 лет,Разовое занятие,Этап 1 или Этап 2 (выбор),1–4 (выбор при записи),1,1,,,,Первый шаг,2,extra-9-11-single-lesson-01,черновик,Разовое занятие: при записи выбирают этап (1 или 2) и любую сказку № 1–4 этого этапа
87,17,Внеклассное чтение 9–11 лет,Индивидуальное обучение,Этап 1,1,1,0,,,,Первый шаг,2,extra-9-11-self_paced-stage-1-lesson-01,черновик,"Этап 1: 4 недели, 4 сказки"
88,17,Внеклассное чтение 9–11 лет,Индивидуальное обучение,Этап 1,2,2,0,,,,Читатель,2,extra-9-11-self_paced-stage-1-lesson-02,черновик,"Этап 1: 4 недели, 4 сказки"
89,17,Внеклассное чтение 9–11 лет,Индивидуальное обучение,Этап 1,3,3,0,,,,Следопыт,2,extra-9-11-self_paced-stage-1-lesson-03,черновик,"Этап 1: 4 недели, 4 сказки"
90,17,Внеклассное чтение 9–11 лет,Индивидуальное обучение,Этап 1,4,4,0,,,,Мастер пересказа,3,extra-9-11-self_paced-stage-1-lesson-04,черновик,"Этап 1: 4 недели, 4 сказки"
91,17,Внеклассное чтение 9–11 лет,Индивидуальное обучение,Этап 2,1,5,0,,,,Первый шаг,2,extra-9-11-self_paced-stage-2-lesson-01,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
92,17,Внеклассное чтение 9–11 лет,Индивидуальное обучение,Этап 2,2,6,0,,,,Читатель,2,extra-9-11-self_paced-stage-2-lesson-02,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
93,17,Внеклассное чтение 9–11 лет,Индивидуальное обучение,Этап 2,3,7,0,,,,Следопыт,2,extra-9-11-self_paced-stage-2-lesson-03,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
94,17,Внеклассное чтение 9–11 лет,Индивидуальное обучение,Этап 2,4,8,0,,,,Мастер пересказа,3,extra-9-11-self_paced-stage-2-lesson-04,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
95,18,Внеклассное чтение 9–11 лет,Модуль с преподавателем,Этап 1,1,1,1,,,,Первый шаг,2,extra-9-11-with_teacher-stage-1-lesson-01,черновик,"Этап 1: 4 недели, 4 сказки"
96,18,Внеклассное чтение 9–11 лет,Модуль с преподавателем,Этап 1,2,2,2,,,,Читатель,2,extra-9-11-with_teacher-stage-1-lesson-02,черновик,"Этап 1: 4 недели, 4 сказки"
97,18,Внеклассное чтение 9–11 лет,Модуль с преподавателем,Этап 1,3,3,3,,,,Следопыт,2,extra-9-11-with_teacher-stage-1-lesson-03,черновик,"Этап 1: 4 недели, 4 сказки"
98,18,Внеклассное чтение 9–11 лет,Модуль с преподавателем,Этап 1,4,4,4,,,,Мастер пересказа,3,extra-9-11-with_teacher-stage-1-lesson-04,черновик,"Этап 1: 4 недели, 4 сказки"
99,18,Внеклассное чтение 9–11 лет,Модуль с преподавателем,Этап 2,1,5,5,,,,Первый шаг,2,extra-9-11-with_teacher-stage-2-lesson-01,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
100,18,Внеклассное чтение 9–11 лет,Модуль с преподавателем,Этап 2,2,6,6,,,,Читатель,2,extra-9-11-with_teacher-stage-2-lesson-02,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
101,18,Внеклассное чтение 9–11 лет,Модуль с преподавателем,Этап 2,3,7,7,,,,Следопыт,2,extra-9-11-with_teacher-stage-2-lesson-03,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
102,18,Внеклассное чтение 9–11 лет,Модуль с преподавателем,Этап 2,4,8,8,,,,Мастер пересказа,3,extra-9-11-with_teacher-stage-2-lesson-04,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
